Mesh_ID,Mesh_Index,Modality,GT_Instance_ID,IoU,Dice,GT_Area,Pred_Area,Num_Predicted_Masks,Best_Pred_Mask_ID
3d55d8d947c2402498c23c1d6dbce934,48,normal,8,0.46651116013526917,0.6362190246582031,79884,84201,9,3
3d55d8d947c2402498c23c1d6dbce934,48,normal,9,0.5358017086982727,0.6977485418319702,55140,29561,9,5
3d55d8d947c2402498c23c1d6dbce934,48,normal,10,0.414131760597229,0.5857046246528625,24031,9952,9,8
3d55d8d947c2402498c23c1d6dbce934,48,normal,11,0.05150827392935753,0.09797026962041855,5137,36100,9,4
3d55d8d947c2402498c23c1d6dbce934,48,normal,12,0.5614938139915466,0.7191752195358276,15003,25638,9,6
3d55d8d947c2402498c23c1d6dbce934,48,normal,13,0.03734289109706879,0.07199720293283463,9261,247999,9,2
3d55d8d947c2402498c23c1d6dbce934,48,normal,14,0.21932408213615417,0.3597469925880432,14518,25638,9,6
3d55d8d947c2402498c23c1d6dbce934,48,normal,15,0.017264457419514656,0.03394291177392006,4307,247999,9,2
3d55d8d947c2402498c23c1d6dbce934,48,point,1,0.039279475808143616,0.07558982074260712,3263,82992,12,8
3d55d8d947c2402498c23c1d6dbce934,48,point,2,0.03068348579108715,0.059540074318647385,1024,33373,12,10
3d55d8d947c2402498c23c1d6dbce934,48,point,4,0.0012136452132835984,0.002424348145723343,156,114514,12,7
3d55d8d947c2402498c23c1d6dbce934,48,point,5,0.2189006209373474,0.3591771423816681,18167,82992,12,8
3d55d8d947c2402498c23c1d6dbce934,48,point,6,0.8505939841270447,0.9192659258842468,35232,34243,12,9
3d55d8d947c2402498c23c1d6dbce934,48,point,7,0.020905740559101105,0.040955282747745514,2394,114514,12,7
3d55d8d947c2402498c23c1d6dbce934,48,point,8,0.46671709418296814,0.6364105343818665,79884,82992,12,8
3d55d8d947c2402498c23c1d6dbce934,48,point,9,0.4264190196990967,0.5978874564170837,55140,114514,12,7
3d55d8d947c2402498c23c1d6dbce934,48,point,10,0.18660978972911835,0.3145259618759155,24031,114514,12,7
3d55d8d947c2402498c23c1d6dbce934,48,point,11,0.05198482796549797,0.0988318920135498,5137,34243,12,9
3d55d8d947c2402498c23c1d6dbce934,48,point,12,0.4799756109714508,0.6486263871192932,15003,31116,12,11
3d55d8d947c2402498c23c1d6dbce934,48,point,13,0.08087220788002014,0.14964249730110168,9261,114514,12,7
3d55d8d947c2402498c23c1d6dbce934,48,point,14,0.19080424308776855,0.32046282291412354,14518,31116,12,11
3d55d8d947c2402498c23c1d6dbce934,48,point,15,0.1290564239025116,0.2286093384027481,4307,33373,12,10
3d55d8d947c2402498c23c1d6dbce934,48,matte,1,0.03895328566431999,0.07498563826084137,3263,83767,10,2
3d55d8d947c2402498c23c1d6dbce934,48,matte,2,0.000128101120935753,0.0002561694127507508,1024,22398,10,6
3d55d8d947c2402498c23c1d6dbce934,48,matte,4,0.0009515528217889369,0.0019012964330613613,156,60855,10,4
3d55d8d947c2402498c23c1d6dbce934,48,matte,5,0.2168753743171692,0.3564463257789612,18167,83767,10,2
3d55d8d947c2402498c23c1d6dbce934,48,matte,6,0.0,0.0,35232,765936,10,0
3d55d8d947c2402498c23c1d6dbce934,48,matte,7,0.0375758558511734,0.0724300891160965,2394,61723,10,3
3d55d8d947c2402498c23c1d6dbce934,48,matte,8,0.4693692624568939,0.6388717293739319,79884,83767,10,2
3d55d8d947c2402498c23c1d6dbce934,48,matte,9,0.5261106491088867,0.6894790530204773,55140,29054,10,5
3d55d8d947c2402498c23c1d6dbce934,48,matte,10,0.4123423993587494,0.5839127898216248,24031,9909,10,8
3d55d8d947c2402498c23c1d6dbce934,48,matte,11,0.014144917018711567,0.027895256876945496,5137,83767,10,2
3d55d8d947c2402498c23c1d6dbce934,48,matte,12,0.6450123190879822,0.7842036485671997,15003,22398,10,6
3d55d8d947c2402498c23c1d6dbce934,48,matte,13,0.15218141674995422,0.26416224241256714,9261,60855,10,4
3d55d8d947c2402498c23c1d6dbce934,48,matte,14,0.44246265292167664,0.6134822964668274,14518,6428,10,9
3d55d8d947c2402498c23c1d6dbce934,48,matte,15,0.01760469377040863,0.034600261598825455,4307,22398,10,6
3eac61535005406885ad708b4eb375e9,49,normal,1,0.03819300979375839,0.0735759362578392,3512,91954,9,2
3eac61535005406885ad708b4eb375e9,49,normal,2,0.7403691411018372,0.8508185148239136,7964,6086,9,8
3eac61535005406885ad708b4eb375e9,49,normal,3,0.9643611311912537,0.9818572402000427,20276,19740,9,4
3eac61535005406885ad708b4eb375e9,49,normal,4,0.03771783411502838,0.07269380986690521,3680,91954,9,2
3eac61535005406885ad708b4eb375e9,49,normal,5,0.0026317506562918425,0.005249685607850552,242,91954,9,2
3eac61535005406885ad708b4eb375e9,49,normal,7,0.02438574843108654,0.04761048033833504,2521,91954,9,2
3eac61535005406885ad708b4eb375e9,49,normal,8,0.22389520704746246,0.36587315797805786,20626,91954,9,2
